"Source:","/home/joerg/repos/OpenBLDC/joewa/ChibiESC/hardware/design/DrChibi.sch"
"Date:","Mo 24 Okt 2016 14:15:12 CEST"
"Tool:","Eeschema no-vcs-found-undefined"
"Generator:","/home/joerg/kicad/bom-in-python/bom_csv_grouped_by_value.py"
"Component Count:","183"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","Manufacturer","Part Number"
"","","Cmcu4","2.2u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"","","Cpwr1","4.7u,35V","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0805","","X7R, e.g. GRM32ER7YA106KA12L","",""
"","","Cpwr2","10u,35V","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_2220","","","",""
"","","Csens1","0.47u","device:C","Capacitors_SMD:C_0603","","bypass capacitor for ACS711, X7R, >10V","",""
"","","Csens2","0.47u","device:C","Capacitors_SMD:C_0603","","bypass capacitor for ACS711, X7R, >10V","",""
"","","Csens3","0.47u","device:C","Capacitors_SMD:C_0603","","bypass capacitor for ACS711, X7R, >10V","",""
"","","Csens4","0.47u","device:C","Capacitors_SMD:C_0603","","bypass capacitor for ACS711, X7R, >10V","",""
"","","Csens5","0.47u","device:C","Capacitors_SMD:C_0603","","bypass capacitor for ACS711, X7R, >10V","",""
"","","Csens6","0.47u","device:C","Capacitors_SMD:C_0603","","bypass capacitor for ACS711, X7R, >10V","",""
"","","C3vi1","100u","BLDC_4-rescue:CP1-RESCUE-BLDC_4","Capacitors_SMD:C_0805","","","",""
"","","C3vi2","1u","device:C","Capacitors_SMD:C_0603","","","",""
"","","C3vn1","10n","device:C","Capacitors_SMD:C_0603","","Use COG or NPO ceramic. Or poly- propylene or carbonate","",""
"","","C3vo1","4.7u","BLDC_4-rescue:CP1-RESCUE-BLDC_4","Capacitors_SMD:C_0805","","","",""
"","","C5vo1","2.2u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"","","C5vo2","100u","BLDC_4-rescue:CP1-RESCUE-BLDC_4","Capacitors_SMD:C_0805","","","",""
"","","D1","RED","BLDC_4-rescue:LED-RESCUE-BLDC_4","LEDs:LED_0402","","","",""
"","","D2","GREEN","BLDC_4-rescue:LED-RESCUE-BLDC_4","LEDs:LED_0402","","","",""
